SURNUM ID,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Gender,Citizenship,Region,Medalist,School,HS Type,SAT Verbal,SAT Math,SAT Score,ACT Composite,,Registered Spr 14,201309_INST_TERM_GPA,201401_INST_TERM_GPA,CURRENT_TOTAL_INST_GPA_May_2014,Returned Fall 2014,Returned Spring 2015,Fall 2014 GPA,CURRENT_TOTAL_INST_GPA_Fall_2014,,,,,,,,,,,,,,,,,
56,2,3,5,2,1,2,3,2,4,4,3,4,4,3,1,4,2,3,4,5,1,1,5,5,2,2,1,5,4,5,5,4,3,2,3,1,3,Northeast,2,7,Public,,,,33,,1,3.91,4.00,3.93,1,1,3.76,3.81,,,,,,,,,,,,,,,,,
57,2,3,1,1,1,1,3,1,2,2,1,4,3,4,1,4,3,5,5,2,3,2,3,3,3,3,4,4,3,4,5,1,3,,,2,3,Northeast,2,2,Public,730,720,1450,,,1,3.84,3.92,3.88,1,1,3.92,3.88,,,,,,,,,,,,,,,,,
58,2,2,5,2,2,1,1,2,3,1,1,5,2,3,1,5,5,5,5,2,1,2,5,3,5,5,5,5,5,2,5,2,2,1,1,,,Non-Northeast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2,3,2,3,2,1,3,2,3,3,1,5,4,4,1,5,2,5,5,5,1,2,5,3,5,3,2,3,4,4,5,3,3,3,3,2,2,Northeast,2,2,Public,740,800,1540,,,1,4.00,3.92,3.96,1,1,3.87,3.92,,,,,,,,,,,,,,,,,
60,2,2,5,1,1,1,2,1,2,1,1,4,4,4,1,3,5,5,5,2,1,2,5,4,3,4,2,3,2,1,5,2,1,1,4,2,3,Northeast,2,6,,750,750,1500,,,1,4.00,3.86,3.93,1,1,3.78,3.88,,,,,,,,,,,,,,,,,
61,2,2,2,2,2,2,2,2,2,2,3,4,3,3,1,5,1,4,3,4,2,2,5,1,3,4,2,2,4,5,4,3,3,3,5,2,3,Northeast,2,2,Public,670,730,1400,,,1,3.76,4.00,3.86,1,1,3.48,3.75,,,,,,,,,,,,,,,,,
62,2,2,1,1,1,2,4,2,1,1,4,3,5,3,1,5,3,5,4,4,1,2,5,5,3,5,5,2,2,4,5,3,3,2,4,2,3,Northeast,2,6,Public,760,740,1500,,,1,3.61,2.89,3.30,1,1,2.75,3.09,,,,,,,,,,,,,,,,,
63,3,3,2,1,2,2,1,1,2,1,4,3,4,2,1,3,1,3,3,1,,,,,3,4,3,1,2,5,5,3,5,4,4,2,3,Northeast,2,1,Parochial,550,680,1230,,,1,2.38,2.50,2.44,1,1,2.65,2.56,,,,,,,,,,,,,,,,,
64,1,1,1,1,1,1,3,1,1,1,4,4,3,4,1,3,3,5,5,5,1,2,5,3,3,4,5,3,3,4,5,4,4,3,5,2,3,Northeast,2,6,Parochial,720,720,1440,,,1,3.25,3.76,3.46,1,1,2.88,3.19,,,,,,,,,,,,,,,,,
65,1,2,1,2,2,2,4,2,4,1,2,5,3,5,1,4,3,4,5,5,1,3,3,3,3,5,4,4,4,5,5,3,3,3,5,2,3,Non-Northeast,2,2,,670,720,1390,,,1,3.73,3.73,3.73,1,1,3.91,3.82,,,,,,,,,,,,,,,,,
66,1,1,1,1,1,1,1,1,3,1,1,5,4,4,1,5,3,5,4,5,1,2,5,3,3,4,2,1,1,1,5,5,3,3,4,1,3,Northeast,1,6,Public,660,720,1380,,,1,3.00,3.08,3.03,1,1,3.24,3.12,,,,,,,,,,,,,,,,,
67,1,2,2,1,2,2,4,4,1,2,4,4,4,3,1,4,3,3,4,4,1,2,3,,2,4,5,1,5,5,5,2,3,3,5,1,3,Non-Northeast,2,2,,,,,22,,1,0.83,1.67,1.13,1,1,3.25,2.45,,,,,,,,,,,,,,,,,
68,2,3,2,1,1,1,1,1,1,1,1,5,4,3,1,2,3,5,4,5,1,2,5,3,3,5,4,3,4,1,5,4,2,2,4,2,3,Non-Northeast,2,2,Public,,,,33,,1,3.51,3.11,3.35,1,1,3.59,3.48,,,,,,,,,,,,,,,,,
69,2,2,1,2,1,1,3,1,2,1,5,,4,,,1,2,4,5,5,1,2,5,3,3,3,4,1,4,3,5,,3,3,5,2,3,Non-Northeast,2,6,,,,,32,,1,2.75,3.17,2.96,1,1,3.22,3.18,,,,,,,,,,,,,,,,,
70,2,2,2,2,3,1,4,3,2,1,1,5,4,3,1,5,2,4,4,4,1,1,3,1,2,3,5,4,5,5,4,2,4,5,3,2,3,Northeast,2,2,Public,590,690,1280,,,1,1.08,2.33,1.62,1,1,1.67,2.11,,,,,,,,,,,,,,,,,
71,2,2,1,2,2,1,3,2,3,1,4,5,3,5,1,5,1,5,5,4,1,2,5,3,4,4,2,2,4,,3,4,3,5,3,2,3,Northeast,2,6,Public,690,730,1420,,,1,3.14,3.70,3.38,1,1,3.85,3.59,,,,,,,,,,,,,,,,,
72,2,2,2,1,1,2,1,1,3,1,5,3,4,3,1,4,2,4,4,5,1,2,5,4,3,5,4,3,4,5,5,5,1,5,4,2,3,Northeast,2,2,Public,740,680,1420,,,1,3.00,3.49,3.25,1,1,3.39,3.35,,,,,,,,,,,,,,,,,
73,1,1,1,1,1,1,2,1,1,1,1,5,4,4,1,5,3,5,5,5,1,2,5,5,3,4,3,5,5,3,5,3,2,2,4,2,3,Northeast,2,2,Public,720,670,1390,,,1,3.50,2.97,3.26,1,1,3.09,3.20,,,,,,,,,,,,,,,,,
74,3,3,2,3,2,2,4,3,4,3,1,5,4,3,1,4,3,4,4,4,3,2,5,5,3,4,2,3,5,4,5,3,2,3,4,2,3,Northeast,2,3,Public,,,,29,,1,2.33,,2.33,,,0.00,2.33,,,,,,,,,,,,,,,,,
75,1,3,2,2,1,1,2,1,1,1,2,5,3,4,1,5,2,5,5,5,1,2,5,3,3,4,3,1,1,2,5,3,3,2,4,2,3,Northeast,2,2,Public,750,730,1480,,,1,3.68,3.25,3.47,1,1,3.47,3.47,,,,,,,,,,,,,,,,,
